Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764600842,20,,Aggregated,2.600000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,140,91,10000.0,6416.789870092903,1.944273000844987,13320.683844000087,251.60714285714286
1764600843,20,,Aggregated,2.200000,1.300000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,142,92,10000.0,6397.263591795829,1.944273000844987,13320.683844000087,251.09154929577466
1764600844,20,,Aggregated,2.400000,1.500000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,148,95,10000.0,6342.770413790591,1.944273000844987,13320.683844000087,249.6283783783784
1764600845,20,,Aggregated,2.500000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,151,96,10000.0,6283.40112376163,1.944273000844987,13320.683844000087,247.8543046357616
1764600846,20,,Aggregated,2.200000,1.300000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,156,98,10000.0,6211.045387474403,1.944273000844987,13320.683844000087,245.75
1764600847,20,,Aggregated,2.700000,1.400000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,160,100,10000.0,6181.505686431303,1.944273000844987,13320.683844000087,244.98125
1764600848,20,,Aggregated,2.700000,1.500000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,161,100,10000.0,6143.131753826146,1.944273000844987,13320.683844000087,243.77639751552795
1764600849,20,,Aggregated,3.000000,1.500000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,165,102,10000.0,6116.189736872796,1.944273000844987,13320.683844000087,243.0787878787879
1764600850,20,,Aggregated,3.200000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,167,104,10000.0,6163.73643317373,1.944273000844987,13320.683844000087,244.70658682634732
1764600851,20,,Aggregated,3.100000,1.500000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,168,104,10000.0,6127.061710779837,1.944273000844987,13320.683844000087,243.55357142857142
1764600852,20,,Aggregated,3.300000,1.600000,10000,10000,10000,10000,10000,10000,10000,11000,13000,13000,13000,169,105,10000.0,6150.343348420189,1.944273000844987,13320.683844000087,244.3550295857988
